,CBScode,Perioden,"  HIC: Theft / burglary dwelling, complete","  HIC: Theft / burglary dwelling, attempts",HIC: Violent Crime,HIC: Street Roof,HIC: Robberies,Undermining public order,Threat,Fire / Explosion,"Theft of moped, moped, bike",Theft of / from vehicles,Theft of motor vehicles,Theft / burglary companies / institutions,Theft / burglary garage / barn / shed,Drug trafficking,Trespassing,mistreatment,Overt violence (person),Or destruction. cause damage,Arms Trade,pickpocketing,morals Felony,Municipality,Province,Population,Population_density(p/km)
289,GM0847,2016JJ00,28.0,11.0,49.0,0.0,0.0,2.0,18.0,7.0,44.0,52.0,26.0,17.0,15.0,12.0,0.0,27.0,4.0,78.0,2.0,3.0,15.0,Someren,North Brabant,18700.0,231.0
290,GM0848,2016JJ00,18.0,4.0,26.0,0.0,0.0,1.0,6.0,0.0,49.0,114.0,19.0,17.0,12.0,5.0,0.0,15.0,5.0,61.0,3.0,5.0,4.0,Son en Breugel,North Brabant,16241.0,610.0
291,GM0851,2016JJ00,39.0,17.0,74.0,0.0,3.0,3.0,31.0,12.0,30.0,104.0,7.0,12.0,19.0,9.0,7.0,38.0,5.0,96.0,4.0,4.0,6.0,Steenbergen,North Brabant,23409.0,159.0
292,GM0852,2016JJ00,26.0,10.0,35.0,0.0,0.0,0.0,12.0,0.0,65.0,35.0,1.0,11.0,7.0,2.0,0.0,23.0,0.0,106.0,1.0,6.0,2.0,Waterland,North Holland,17154.0,326.0
293,GM0855,2016JJ00,427.0,191.0,1670.0,43.0,26.0,75.0,595.0,65.0,1899.0,1113.0,158.0,385.0,294.0,180.0,71.0,982.0,93.0,1481.0,76.0,463.0,137.0,Tilburg,North Brabant,210382.0,1770.0
294,GM0856,2016JJ00,71.0,17.0,169.0,3.0,1.0,11.0,65.0,16.0,277.0,165.0,25.0,78.0,81.0,18.0,10.0,90.0,14.0,271.0,5.0,24.0,18.0,Uden,North Brabant,40934.0,609.0
295,GM0858,2016JJ00,67.0,20.0,116.0,1.0,1.0,4.0,44.0,11.0,222.0,67.0,28.0,28.0,42.0,23.0,2.0,67.0,5.0,150.0,8.0,17.0,15.0,Valkenswaard,North Brabant,30353.0,557.0
296,GM0860,2016JJ00,61.0,35.0,132.0,2.0,1.0,5.0,45.0,4.0,167.0,150.0,21.0,43.0,53.0,31.0,3.0,78.0,9.0,170.0,6.0,16.0,15.0,Veghel,North Brabant,37550.0,480.0
297,GM0861,2016JJ00,92.0,45.0,124.0,6.0,6.0,9.0,41.0,5.0,183.0,215.0,23.0,37.0,46.0,30.0,14.0,79.0,4.0,200.0,8.0,14.0,8.0,Veldhoven,North Brabant,44136.0,1383.0
298,GM0865,2016JJ00,42.0,7.0,82.0,3.0,2.0,2.0,34.0,10.0,116.0,139.0,14.0,23.0,27.0,10.0,1.0,47.0,1.0,106.0,1.0,10.0,15.0,Vught,North Brabant,25626.0,770.0
299,GM0866,2016JJ00,35.0,18.0,29.0,2.0,1.0,0.0,17.0,1.0,74.0,67.0,24.0,24.0,10.0,9.0,3.0,10.0,2.0,63.0,4.0,4.0,5.0,Waalre,North Brabant,16804.0,737.0
300,GM0867,2016JJ00,75.0,35.0,216.0,4.0,1.0,8.0,89.0,7.0,133.0,306.0,43.0,75.0,21.0,36.0,4.0,112.0,15.0,236.0,12.0,36.0,18.0,Waalwijk,North Brabant,46515.0,719.0
301,GM0870,2016JJ00,52.0,13.0,51.0,0.0,0.0,3.0,21.0,7.0,42.0,100.0,11.0,18.0,29.0,21.0,0.0,30.0,0.0,94.0,6.0,2.0,8.0,Werkendam,North Brabant,26400.0,253.0
302,GM0873,2016JJ00,37.0,19.0,69.0,2.0,0.0,3.0,32.0,4.0,48.0,55.0,9.0,23.0,20.0,18.0,0.0,35.0,2.0,98.0,6.0,8.0,6.0,Woensdrecht,North Brabant,21654.0,237.0
303,GM0874,2016JJ00,13.0,5.0,32.0,0.0,0.0,0.0,11.0,1.0,23.0,44.0,6.0,15.0,9.0,12.0,0.0,21.0,0.0,37.0,2.0,2.0,1.0,Woudrichem,North Brabant,14407.0,292.0
304,GM0879,2016JJ00,51.0,18.0,77.0,0.0,1.0,1.0,26.0,4.0,59.0,40.0,15.0,47.0,85.0,10.0,3.0,43.0,8.0,111.0,2.0,10.0,10.0,Zundert,North Brabant,21374.0,176.0
305,GM0880,2016JJ00,21.0,11.0,39.0,1.0,1.0,0.0,20.0,2.0,19.0,23.0,1.0,14.0,8.0,4.0,1.0,19.0,0.0,53.0,0.0,2.0,3.0,Wormerland,North Holland,15751.0,407.0
306,GM0881,2016JJ00,15.0,15.0,17.0,0.0,2.0,2.0,9.0,2.0,12.0,32.0,15.0,3.0,10.0,7.0,0.0,8.0,0.0,40.0,1.0,2.0,1.0,Onderbanken,Limburg,7882.0,376.0
307,GM0882,2016JJ00,65.0,54.0,147.0,4.0,1.0,10.0,57.0,18.0,109.0,152.0,69.0,51.0,73.0,32.0,2.0,85.0,5.0,227.0,10.0,23.0,7.0,Landgraaf,Limburg,37530.0,1549.0
308,GM0888,2016JJ00,40.0,14.0,87.0,2.0,1.0,0.0,23.0,1.0,159.0,81.0,33.0,29.0,33.0,7.0,0.0,53.0,11.0,97.0,3.0,23.0,2.0,Beek,Limburg,16268.0,783.0
309,GM0889,2016JJ00,28.0,10.0,39.0,1.0,0.0,1.0,13.0,0.0,39.0,22.0,3.0,11.0,12.0,6.0,1.0,26.0,0.0,65.0,1.0,4.0,2.0,Beesel,Limburg,13593.0,488.0
310,GM0893,2016JJ00,33.0,6.0,41.0,0.0,2.0,1.0,14.0,4.0,14.0,45.0,6.0,8.0,22.0,4.0,1.0,25.0,2.0,36.0,2.0,6.0,1.0,Bergen (LI),Limburg,13230.0,128.0
311,GM0899,2016JJ00,92.0,76.0,122.0,3.0,2.0,5.0,60.0,13.0,153.0,157.0,68.0,33.0,173.0,33.0,0.0,61.0,1.0,186.0,9.0,13.0,4.0,Brunssum,Limburg,28914.0,1697.0
312,GM0907,2016JJ00,36.0,11.0,50.0,0.0,0.0,1.0,25.0,4.0,45.0,30.0,13.0,19.0,22.0,5.0,0.0,24.0,1.0,54.0,0.0,11.0,5.0,Gennep,Limburg,17285.0,364.0
313,GM0917,2016JJ00,277.0,136.0,619.0,19.0,14.0,36.0,233.0,78.0,488.0,788.0,238.0,261.0,181.0,175.0,21.0,358.0,28.0,804.0,51.0,104.0,46.0,Heerlen,Limburg,88202.0,1977.0
314,GM0928,2016JJ00,147.0,75.0,275.0,15.0,6.0,9.0,118.0,15.0,150.0,266.0,86.0,81.0,92.0,97.0,4.0,152.0,5.0,372.0,15.0,27.0,17.0,Kerkrade,Limburg,46773.0,2159.0
315,GM0935,2016JJ00,398.0,116.0,756.0,48.0,18.0,40.0,265.0,72.0,1479.0,774.0,285.0,275.0,267.0,141.0,15.0,444.0,47.0,765.0,59.0,788.0,51.0,Maastricht,Limburg,122331.0,2131.0
316,GM0938,2016JJ00,47.0,21.0,36.0,3.0,1.0,2.0,13.0,5.0,125.0,61.0,41.0,39.0,27.0,4.0,2.0,21.0,2.0,64.0,4.0,5.0,3.0,Meerssen,Limburg,19259.0,716.0
317,GM0944,2016JJ00,26.0,14.0,11.0,0.0,1.0,0.0,4.0,2.0,24.0,23.0,6.0,11.0,10.0,0.0,0.0,7.0,0.0,40.0,0.0,1.0,4.0,Mook en Middelaar,Limburg,7783.0,453.0
318,GM0946,2016JJ00,35.0,11.0,31.0,0.0,0.0,0.0,16.0,3.0,48.0,18.0,9.0,11.0,25.0,12.0,1.0,15.0,0.0,43.0,0.0,4.0,2.0,Nederweert,Limburg,16773.0,167.0
319,GM0951,2016JJ00,32.0,29.0,37.0,1.0,0.0,1.0,18.0,3.0,34.0,47.0,32.0,30.0,43.0,11.0,0.0,19.0,0.0,72.0,0.0,1.0,3.0,Nuth,Limburg,15577.0,473.0
320,GM0957,2016JJ00,161.0,49.0,375.0,9.0,10.0,12.0,139.0,19.0,466.0,372.0,70.0,126.0,66.0,93.0,9.0,221.0,15.0,374.0,30.0,434.0,52.0,Roermond,Limburg,57030.0,923.0
321,GM0962,2016JJ00,37.0,18.0,20.0,1.0,0.0,0.0,11.0,3.0,36.0,55.0,25.0,18.0,30.0,4.0,0.0,9.0,0.0,52.0,1.0,1.0,1.0,Schinnen,Limburg,12961.0,549.0
322,GM0965,2016JJ00,14.0,15.0,21.0,1.0,1.0,0.0,9.0,3.0,8.0,23.0,11.0,6.0,12.0,1.0,2.0,12.0,0.0,46.0,2.0,1.0,3.0,Simpelveld,Limburg,10844.0,681.0
323,GM0971,2016JJ00,60.0,44.0,79.0,0.0,1.0,0.0,33.0,8.0,56.0,82.0,39.0,37.0,35.0,12.0,3.0,41.0,5.0,105.0,2.0,10.0,7.0,Stein,Limburg,25348.0,1211.0
324,GM0981,2016JJ00,21.0,4.0,34.0,1.0,0.0,1.0,9.0,2.0,15.0,52.0,23.0,14.0,9.0,8.0,1.0,23.0,2.0,41.0,0.0,10.0,2.0,Vaals,Limburg,9682.0,409.0
325,GM0983,2016JJ00,266.0,123.0,678.0,15.0,16.0,31.0,268.0,42.0,911.0,319.0,98.0,195.0,281.0,135.0,32.0,377.0,33.0,725.0,42.0,326.0,39.0,Venlo,Limburg,100381.0,800.0
326,GM0984,2016JJ00,67.0,24.0,164.0,7.0,0.0,7.0,72.0,17.0,402.0,161.0,31.0,54.0,64.0,19.0,4.0,83.0,9.0,180.0,5.0,29.0,20.0,Venray,Limburg,43120.0,263.0
327,GM0986,2016JJ00,25.0,18.0,26.0,1.0,0.0,0.0,13.0,2.0,35.0,53.0,19.0,16.0,40.0,5.0,1.0,13.0,0.0,40.0,2.0,2.0,1.0,Voerendaal,Limburg,12447.0,402.0
328,GM0988,2016JJ00,99.0,27.0,217.0,2.0,4.0,11.0,87.0,11.0,254.0,145.0,35.0,62.0,45.0,46.0,4.0,124.0,6.0,241.0,16.0,73.0,21.0,Weert,Limburg,48727.0,466.0
329,GM0994,2016JJ00,35.0,16.0,52.0,2.0,3.0,5.0,13.0,1.0,74.0,160.0,82.0,24.0,77.0,7.0,0.0,35.0,4.0,92.0,4.0,26.0,6.0,Valkenburg aan de Geul,Limburg,16668.0,461.0
330,GM0995,2016JJ00,185.0,113.0,527.0,17.0,4.0,22.0,205.0,50.0,407.0,200.0,46.0,225.0,71.0,93.0,12.0,299.0,23.0,504.0,26.0,47.0,36.0,Lelystad,Flevoland,76170.0,325.0
331,GM1507,2016JJ00,83.0,31.0,100.0,0.0,1.0,6.0,29.0,1.0,165.0,108.0,23.0,48.0,45.0,29.0,2.0,64.0,7.0,126.0,5.0,19.0,16.0,Horst aan de Maas,Limburg,41718.0,222.0
